dmo_id, dmo_name, dmo_ico, dmo_record, established_on, folder_name
1,Región Vysoké Tatry,42234077,02807/2012/SCR,17/01/2012,1_feketeova_d
2,SEVERNÝ SPIŠ - PIENINY,42234182,07984/2012/SCR,06/02/2012,2_cizmarova_i
3,Visit Košice,42247632,09668/2012/SCR,28/02/2012,
4,Dudince Tourism,42199212,08816/2012/SCR,15/02/2012,
5,REGIÓN HOREHRONIE,42299381,10672/2012/SCR,05/03/2012,5_sichta_a
6,Oblastná organizácia cestovného ruchu „ŠARIŠ“ - BARDEJOV,42238714,25079/2012/3140/SCR,07/12/2012,6_novakova_a
7,REGIÓN GRON,42304482,26578/2012/SCR,27/12/2012,7_baranov_i
8,Oblastná organizácia cestovného ruchu Trenčianske Teplice,42274885,10415/2012/SCR,14/03/2012,8_spisakova_m
9,Región Horné Považie,42274818,10347/2012/SCR,08/03/2012,9_kocisova_v
10,Trnava Tourism,42288924,09366/2012/SCR,23/02/2012,
11,Rajecká dolina,42219281,28358/2011/SCR,28/12/2011,11_grejtakova_s
12,Horný Zemplín a Horný Šariš,42234531,09457/2012/SCR,24/02/2012,12_sabolova_b
13,Turiec,42220360,11242/2012/SCR,26/03/2012,13_kolova_r
14,Nitrianska organizácia cestovného ruchu,42209005,10188/2012/SCR,06/03/2012,
15,Zemplínska oblastná organizácia cestovného ruchu,42247748,10337/2012/SCR,08/03/2012,15_bezek_d
16,Stredné Slovensko,42299268,10206/2012/SCR,06/03/2012,16_semanova_m
17,Malá Fatra,42219574,06589/2012/SCR,16/01/2012,17_hricisin_d
18,Región Banská Štiavnica ,42197813,27248/2011/SCR,15/12/2011,18_kostka_l
19,Vysoké Tatry - Podhorie,42234573,10323/2012/SCR,08/03/2012,19_pastorova_m
20,Organizácia cestovného ruchu Kysuce,42220009,09587/2012/SCR,28/02/2012,
21,Rezort Piešťany,42288916,09051/2012/SCR,17/02/2012,21_piatkova_v
22,REGION LIPTOV,42219906,08557/2012/SCR,10/02/2012,22_basarova_s
23,TURISTICKÝ NOVOHRAD A PODPOĽANIE,42199425,10338/2012/SCR,08/03/2012,23_seligova_n
24,Klaster Orava,42219701,69768/2011/SCR,09/01/2012,24_gunglova_z
25,Región HORNÁ NITRA - BOJNICE,42274770,09881/2012/SCR,01/03/2012,25_metwali_m
26,Oblastná organizácia cestovného ruchu TATRY – SPIŠ – PIENINY,42234565,10199/2012/SCR,06/03/2012,26_antoskova_s
27,Región Senec,42260337,09485/2012/SCR,27/02/2012,27_semjanova_b
28,Oblastná organizácia cestovného ruchu Záhorie,42292174,26017/2012/SCR,17/12/2012,
29,PODUNAJSKO,50092499,27867/2015/SCR,01/12/2015,
30,Oblastná organizácia cestovného ruchu „Trenčín a okolie“,50113577,28857/2015/SCR,16/12/2015,
31,Malé Karpaty,50110641,29321/2015/SCR,21/12/2015,31_mikitova_z
32,Slovenský raj & Spiš,42319331,23401/2012/SCR,06/12/2012,32_plencnerova_a
33,Oblastná organizácia cestovného ruchu Tekov,51019914,17466/2017/SCR,29/06/2017,
34,Oblastná organizácia cestovného ruchu GEMER,51837099,18722/2018/SCR,29/06/2018,34_desiatnikova_v
35,Región Šariš,50076515,26683/2015/SCR,12/11/2015,35_jurusova_z
36,Oblastná organizácia cestovného ruchu Žitný ostrov – Csallóköz,42288967,09385/2012/SCR,23/02/2012,
37,Bratislavská organizácia cestovného ruchu,42259088,28351/2011/SCR,28/12/2011,
38,Štúrovo - Parkan,53485190,32032/2020/SCR,03/12/2020,38_panchenko_n
39,Oblastná organizácia cestovného ruchu Matúšova zem – Mátyusföld,54307406,53297/2021/SCR,15/12/2021,
